model,unit,z0_1,z0_2,zc,v_1,v_2,v_3,v_4,v_5,v_6,ve_1,ve_2,ve_3,ve_4,ve_5,ve_6,eta,t0,se,si,k,wliw,wlib,wffiw
2,go,21.3728548347351,10.2037052990474,67.8392398363389,0.210203130548539,,,,,,0.142998090923768,,,,,,0.0303378059515987,28.480915494895,0,1,-0.000852837619688546,-0.000784936403573355,0,0
2,stop,5.27288110769572,,20.4065029957481,0.435627688116113,,,,,,NaN,,,,,,0.033654531435548,22.23412389875,0,1,-0.000667960705308527,NaN,-0.0516814401279063,0
43,go,22.6811076711955,,70.2993915689684,0.227875190280233,0.205716109664509,0.186458408298165,,,,0.10482553077903,0.125713143133576,0.147659141610861,,,,0.0279711485460391,34.3842291423844,0,1,-0.000875440869917514,-0.0004216779090499,0,0
43,stop,0.0553842715875474,,11.2042278843286,0.322737599055128,,,,,,NaN,,,,,,0.0265895372690259,30.7555363256561,0,1,-0.00333216914084379,NaN,-0.514281611952551,0
79,go,21.9081643154921,10.1651314297583,68.7812258822839,0.227884531024778,0.20547619541228,0.187731051529719,,,,0.103908069197856,0.126724552146961,0.148357944011053,,,,0.0277537393940428,28.3957707850993,0,1,-0.000846147611563217,-0.000542915461107962,0,0
79,stop,0.906268139992408,,17.0886814948136,0.424338469327799,,,,,,NaN,,,,,,0.0402791466208478,20.8030014942067,0,1,-0.00371378068452557,NaN,-0.537134228702585,0
352,go,22.5914603460542,,69.2952729284205,0.242003889841538,0.228974123734318,0.221313050613224,0.205154034787609,0.203615051664791,0.183683206738118,0.110726324427861,0.11949817142175,0.118473850661835,0.135882662630314,0.138710907335386,0.16197796641266,0.0302291369238659,37.1493478426005,0,1,-0.00140450342867985,-3.05262968769426e-06,0,0
352,stop,3.48660856202213,,17.8434344550606,0.36125199830037,,,,,,NaN,,,,,,0.0157837433289288,13.4714430038738,0,1,-0.00052783603356364,NaN,-0.313700928896646,0
478,go,21.4544246693379,10.4712908657441,68.448361160631,0.232413903149132,0.236047336841961,0.214450479934732,0.212652916416277,0.196085592409504,0.18797330624536,0.115037857949275,0.104629432659363,0.119198279450808,0.132906968025776,0.144458884727649,0.157541951990435,0.0318315035490143,28.8165132651505,0,1,-0.00122016967662107,-0.000185378312753559,0,0
478,stop,3.04971696498746,,15.2566491447693,0.398365675501882,,,,,,NaN,,,,,,0.0592053554269489,27.0787335171121,0,1,-0.00331429045976072,NaN,-0.407277520871523,0
